,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178
10,10,559,939,1340,1783,1951,2287,2600,3226,3401,3751,4092,4415,4702,5276,5706,5848,6132,6700,7118,7236,7831,7944,8529,8622,9167,9539,9924,10335,10439,11006,11422,11536,12123,12220,12773,13161,13578,13694,14285,14390,14959,15379,15501,16104,16233,16850,17007,17321,17949,18128,18486,18843,19198,19549,19892,20219,20514,21104,21207,21772,22184,22290,22861,23285,23415,24034,24195,24517,24802,25372,25794,25920,26531,26676,26966,27546,27988,28154,28486,28791,29401,29544,29830,30402,30828,30962,31589,31766,32120,32469,32808,33127,33406,33964,34362,34799,34955,35267,35891,36062,36404,36729,37020,37602,38048,38222,38570,38907,39222,39493,40035,40401,40774,41161,41576,41688,42271,42719,42897,43253,43606,43953,44288,44599,45221,45388,45722,46031,46649,46808,47126,47403,47957,48347,48768,48892,49499,49636,49910,50458,50836,51233,51668,51820,52124,52732,52871,53149,53705,54099,54528,54668,54948,55508,55910,56355,56527,56871,57200,57499,58097,58216,58813,58930,59523,59632,60209,60645,60799,61107,61723,61878,62188,62808,62971,63297,63590,64176
11,11,561,943,1348,1440,1983,2351,2728,3123,3554,3698,3986,4562,4996,5146,5446,6046,6169,6774,6907,7532,7705,8051,8384,8691,9305,9456,9758,10362,10493,11114,11279,11609,11910,12512,12639,13252,13401,13699,14295,14410,14999,15100,15661,16065,16155,16694,17054,17415,17778,18145,18520,18911,19334,19462,20077,20230,20536,21148,21295,21589,22177,22276,22833,23229,23662,23810,24106,24698,24805,25378,25806,25944,26220,26772,27158,27571,27679,28254,28686,28832,29124,29708,29799,30340,30704,31073,31452,31851,32290,32450,32770,33051,33613,34019,34113,34660,35036,35429,35856,35992,36264,36808,37178,37559,37962,38409,38585,38937,39282,39613,39916,40522,40657,40927,41467,41829,42194,42565,42948,43355,43451,44002,44386,44795,44895,45454,45854,46295,46459,46787,47084,47678,47789,48370,48814,48984,49324,49645,49928,50494,50908,51018,51597,52037,52199,52523,52812,53390,53828,53986,54302,54575,55121,55495,55884,56303,56423,57022,57143,57744,57869,58478,58619,58901,59465,59875,59977,60540,60948,61046,61601,61993,62418,62550,63173,63342,63680,63997
12,12,563,947,1356,1456,2015,2415,2856,3020,3348,3645,4239,4350,4931,5375,5545,5885,6206,6489,7055,7469,7579,8158,8598,8760,9084,9373,9951,10389,10547,10863,11136,11682,12056,12445,12864,12984,13583,13704,14305,14430,15039,15180,15462,16026,16436,16538,17101,17509,17607,18162,18554,18979,19111,19734,19903,20241,20558,20833,21383,21765,22170,22262,22805,23173,23550,23945,24376,24520,24808,25384,25818,25968,26268,26868,26991,27596,27729,28354,28527,28873,29206,29513,30127,30278,30580,31184,31315,31936,32101,32431,32732,33334,33461,34074,34223,34521,35117,35232,35821,35922,36483,36887,36977,37516,37876,38237,38600,38967,39342,39733,40156,40284,40899,41052,41358,41970,42117,42411,42999,43098,43655,44051,44484,44632,44928,45520,45627,46200,46628,46766,47042,47594,47980,48393,48501,49076,49508,49654,49946,50530,50621,51162,51526,51895,52274,52673,53112,53272,53592,53873,54435,54841,54935,55482,55858,56251,56678,56814,57086,57630,58000,58381,58784,59231,59407,59759,60104,60435,60738,61344,61479,61749,62289,62651,63016,63387,63770,64177
13,13,565,951,1364,1472,2047,2479,2625,2917,3501,3592,4133,4497,4866,5245,5644,6083,6243,6563,6844,7406,7812,7906,8453,8829,9222,9649,9785,10057,10601,10971,11352,11755,12202,12378,12730,13075,13406,13709,14315,14450,14720,15260,15622,15987,16358,16741,17148,17244,17795,18179,18588,18688,19247,19647,20088,20252,20580,20877,21471,21582,22163,22607,22777,23117,23438,23721,24287,24701,24811,25390,25830,25992,26316,26605,27183,27621,27779,28095,28368,28914,29288,29677,30096,30216,30815,30936,31537,31662,32271,32412,32694,33258,33668,33770,34333,34741,34839,35394,35786,36211,36343,36966,37135,37473,37790,38065,38615,38997,39402,39494,40037,40405,40782,41177,41608,41752,42040,42616,43050,43200,43500,44100,44223,44828,44961,45586,45759,46105,46438,46745,47359,47510,47812,48416,48547,49168,49333,49663,49964,50566,50693,51306,51455,51753,52349,52464,53053,53154,53715,54119,54209,54748,55108,55469,55832,56199,56574,56965,57388,57516,58131,58284,58590,59202,59349,59643,60231,60330,60887,61283,61716,61864,62160,62752,62859,63432,63860,63998
14,14,567,955,1372,1488,2079,2184,2753,3173,3295,3898,4027,4644,4801,5115,5743,5922,6280,6637,6992,7343,7686,8013,8308,8898,9001,9566,9978,10084,10655,11079,11209,11828,11989,12311,12596,13166,13588,13714,14325,14470,14760,15340,15782,15948,16280,16585,17195,17338,17624,18196,18622,18756,19383,19560,19914,20263,20602,20921,21200,21758,22156,22593,22749,23061,23685,23856,24198,24523,24814,25396,25842,26016,26364,26701,27016,27287,27829,28195,28568,28955,29370,29482,30065,30513,30691,31047,31400,31747,32082,32393,33015,33182,33516,33825,34443,34602,34920,35197,35751,36141,36562,36686,37293,37430,37704,38252,38630,39027,39462,39614,39918,40526,40665,40943,41499,41893,42322,42462,42742,43302,43704,44149,44321,44665,44994,45293,45891,46010,46607,46724,47317,47426,48003,48439,48593,48901,49517,49672,49982,50602,50765,51091,51384,51970,52065,52614,52994,53395,53838,54006,54342,54655,55281,55456,55806,56147,56470,56757,57331,57761,57903,58187,58755,59173,59291,59886,59999,60584,60677,61222,61594,61979,62390,62494,63061,63477,63591,64178
15,15,569,959,1380,1504,2111,2248,2522,3070,3448,3845,4280,4432,4736,5344,5483,5761,6317,6711,7140,7280,7560,8120,8522,8967,9139,9483,9812,10111,10709,10828,11425,11542,12135,12244,12821,13257,13411,13719,14335,14490,14800,15420,15583,15909,16202,16788,16883,17432,17812,18213,18656,18824,19160,19473,20099,20274,20624,20965,21288,21575,22149,22579,22721,23005,23573,23991,24109,24704,24817,25402,25495,26040,26412,26797,27208,27312,27879,28295,28409,28996,29093,29646,30034,30451,30567,31158,31263,31832,32252,32374,32977,33106,33723,33880,34194,34822,35001,35359,35716,36071,36422,36765,37092,37387,37977,38080,38645,39057,39163,39734,40158,40288,40907,41068,41390,41675,42245,42667,42793,43404,43549,43839,44419,44861,45027,45359,45664,46274,46417,46703,47275,47701,47835,48462,48639,48993,49342,49681,50000,50279,50837,51235,51672,51828,52140,52764,52935,53277,53602,53893,54475,54921,55095,55443,55780,56095,56366,56908,57274,57647,58034,58449,58561,59144,59592,59770,60126,60479,60826,61161,61472,62094,62261,62595,62904,63522,63681,63999
16,16,571,963,1388,1520,2143,2312,2650,2967,3242,3792,4174,4579,4671,5214,5582,5959,6354,6785,6929,7217,7793,8227,8377,8677,9277,9400,10005,10138,10763,10936,11282,11615,11922,12536,12687,12989,13593,13724,14345,14510,14840,15141,15743,15870,16483,16632,16930,17526,17641,18230,18331,18892,19296,19386,19925,20285,20646,21009,21376,21751,22142,22565,22693,23308,23461,23767,24379,24526,24820,25408,25507,26064,26460,26893,27041,27337,27929,28036,28609,29037,29175,29451,30003,30389,30802,30910,31485,31917,32063,32355,32939,33030,33571,33935,34304,34683,35082,35521,35681,36001,36282,36844,37250,37344,37891,38267,38660,39087,39223,39495,40039,40409,40790,41193,41640,41816,42168,42513,42844,43147,43753,43888,44158,44698,45060,45425,45796,46179,46586,46682,47233,47617,48026,48126,48685,49085,49526,49690,50018,50315,50909,51020,51601,52045,52215,52555,52876,53159,53725,54139,54249,54828,55268,55430,55754,56043,56621,57059,57217,57533,57806,58352,58726,59115,59534,59654,60253,60374,60975,61100,61709,61850,62132,62696,63106,63208,63771,64179
17,17,573,967,1396,1536,1816,2376,2778,3223,3395,3739,4068,4367,4965,5084,5681,5798,6391,6500,7077,7513,7667,7975,8591,8746,9056,9676,9839,10165,10458,11044,11139,11688,12068,12469,12912,13080,13416,13729,14355,14530,14880,15221,15544,15831,16405,16835,16977,17261,17829,18247,18365,18960,19073,19658,19751,20296,20668,21053,21464,21568,22135,22551,22665,23252,23349,23902,24290,24707,24823,25414,25519,26088,26508,26630,27233,27362,27979,28136,28450,29078,29257,29615,29972,30327,30678,31021,31348,31643,32233,32336,32901,33313,33419,33990,34414,34544,35163,35324,35646,35931,36501,36923,37049,37660,37805,38095,38675,39117,39283,39615,39920,40530,40673,40959,41531,41957,42091,42718,42895,43249,43598,43937,44256,44535,45093,45491,45928,46084,46396,47020,47191,47533,47858,48149,48731,49177,49351,49699,50036,50351,50622,51164,51530,51903,52290,52705,52817,53400,53848,54026,54382,54735,55082,55417,55728,56350,56517,56851,57160,57778,57937,58255,58532,59086,59476,59897,60021,60628,60765,61039,61587,61965,62362,62797,62949,63253,63861,64000
18,18,575,971,1404,1552,1848,2440,2547,3120,3548,3686,3962,4514,4900,5313,5421,5996,6428,6574,6866,7450,7541,8082,8446,8815,9194,9593,10032,10192,10512,10793,11355,11761,11855,12402,12778,13171,13598,13734,14006,14550,14920,15301,15704,16151,16327,16679,17024,17355,17658,18264,18399,18669,19209,19571,19936,20307,20690,21097,21193,21744,22128,22537,22637,23196,23596,24037,24201,24529,24826,25420,25531,26112,26556,26726,27066,27387,27670,28236,28650,28760,29339,29779,29941,30265,30554,31132,31570,31728,32044,32317,32863,33237,33626,34045,34165,34764,34885,35486,35611,36220,36361,36643,37207,37617,37719,38282,38690,38788,39343,39735,40160,40292,40915,41084,41422,41739,42014,42564,42946,43351,43443,43986,44354,44731,45126,45557,45701,45989,46565,46999,47149,47449,48049,48172,48777,48910,49535,49708,50054,50387,50694,51308,51459,51761,52365,52496,53117,53282,53612,53913,54515,54642,55255,55404,55702,56298,56413,57002,57103,57664,58068,58158,58697,59057,59418,59781,60148,60523,60914,61337,61465,62080,62233,62539,63151,63298,63592,64180
19,19,577,975,1412,1568,1880,2504,2675,3017,3342,3633,4215,4661,4835,5183,5520,5835,6106,6648,7014,7387,7774,8189,8301,8884,9332,9510,9866,10219,10566,10901,11212,11834,12001,12335,12644,13262,13421,13739,14016,14570,14960,15381,15505,16112,16249,16523,17071,17449,17846,18281,18433,18737,19345,19484,19762,20318,20712,21141,21281,21561,22121,22523,22968,23140,23484,23813,24112,24710,24829,25426,25543,26136,26245,26822,27258,27412,27720,28336,28491,28801,29421,29584,29910,30203,30789,30884,31433,31813,32214,32657,32825,33161,33474,34100,34275,34625,34966,35289,35576,36150,36580,36722,37006,37574,37992,38110,38705,38818,39403,39496,40041,40413,40798,41209,41313,41880,42296,42410,42997,43094,43647,44035,44452,44568,45159,45264,45833,46253,46375,46978,47107,47724,47881,48195,48823,49002,49360,49717,50072,50423,50766,51093,51388,51978,52081,52646,53058,53164,53735,54159,54289,54908,55069,55391,55676,56246,56668,56794,57405,57550,57840,58420,58862,59028,59360,59665,60275,60418,60704,61276,61702,61836,62463,62640,62994,63343,63682,64001
20,20,579,979,1420,1584,1912,2209,2803,2914,3495,3939,4109,4449,4770,5053,5619,6033,6143,6722,7162,7324,7648,7937,8515,8953,9111,9427,9700,10246,10620,11009,11428,11548,12147,12268,12869,12994,13603,13744,14026,14590,15000,15102,15665,16073,16171,16726,17118,17543,17675,18298,18467,18805,19122,19397,19947,20329,20734,20826,21369,21737,22114,22509,22940,23084,23372,23948,24382,24532,24832,25432,25555,26160,26293,26918,27091,27437,27770,28077,28691,28842,29144,29748,29879,30500,30665,30995,31296,31898,32025,32638,32787,33085,33681,33796,34385,34486,35047,35451,35541,36080,36440,36801,37164,37531,37906,38297,38720,38848,39463,39616,39922,40534,40681,40975,41563,41662,42219,42615,43048,43196,43492,44084,44191,44764,45192,45330,45606,46158,46544,46957,47065,47640,48072,48218,48510,49094,49185,49726,50090,50459,50838,51237,51676,51836,52156,52437,52999,53405,53499,54046,54422,54815,55242,55378,55650,56194,56564,56945,57348,57795,57971,58323,58668,58999,59302,59908,60043,60313,60853,61215,61580,61951,62334,62741,62837,63388,63772,64181
21,21,581,983,1428,1600,1944,2273,2572,3170,3289,3886,4003,4596,4705,5282,5718,5872,6180,6796,6951,7261,7881,8044,8370,8663,9249,9344,9893,10273,10674,11117,11285,11621,11934,12560,12735,13085,13426,13749,14036,14610,15040,15182,15466,16034,16452,16570,17165,17278,17863,17956,18501,18873,19258,19669,19773,20340,20756,20870,21457,21554,22107,22495,22912,23028,23619,23724,24293,24713,24835,25438,25567,26184,26341,26655,27283,27462,27820,28177,28532,28883,29226,29553,29848,30438,30541,31106,31518,31624,32195,32619,32749,33368,33529,33851,34136,34706,35128,35254,35865,36010,36300,36880,37322,37488,37820,38125,38735,38878,39164,39736,40162,40296,40923,41100,41454,41803,42142,42461,42740,43298,43696,44133,44289,44601,45225,45396,45738,46063,46354,46936,47382,47556,47904,48241,48556,48827,49369,49735,50108,50495,50910,51022,51605,52053,52231,52587,52940,53287,53622,53933,54555,54722,55056,55365,55983,56142,56460,56737,57291,57681,58102,58226,58833,58970,59244,59792,60170,60567,61002,61154,61458,62066,62205,62483,63039,63433,63862,64002
22,22,583,987,1077,1616,1976,2337,2700,3067,3442,3833,4256,4384,4999,5152,5458,6070,6217,6511,7099,7198,7755,8151,8584,8732,9028,9620,9727,10300,10728,10866,11142,11694,12080,12493,12601,13176,13608,13754,14046,14630,14721,15262,15626,15995,16374,16773,17212,17372,17692,17973,18535,18941,19035,19582,19958,20351,20778,20914,21186,21730,22100,22481,22884,23331,23507,23859,24204,24535,24838,25444,25579,25849,26389,26751,27116,27487,27870,28277,28373,28924,29308,29717,29817,30376,30776,31217,31381,31709,32006,32600,32711,33292,33736,33906,34246,34567,34850,35416,35830,35940,36519,36959,37121,37445,37734,38312,38750,38908,39224,39497,40043,40417,40806,41225,41345,41944,42065,42666,42791,43400,43541,43823,44387,44797,44899,45462,45870,45968,46523,46915,47340,47472,48095,48264,48602,48919,49194,49744,50126,50531,50623,51166,51534,51911,52306,52737,52881,53169,53745,54179,54329,54629,55229,55352,55957,56090,56715,56888,57234,57567,57874,58488,58639,58941,59545,59676,60297,60462,60792,61093,61695,61822,62435,62584,62882,63478,63593,64182
23,23,585,991,1085,1632,2008,2401,2828,2964,3236,3780,4150,4531,4934,5381,5557,5909,6254,6585,6888,7494,7629,7899,8439,8801,9166,9537,9920,10327,10423,10974,11358,11767,11867,12426,12826,13267,13431,13759,14056,14650,14761,15342,15786,15956,16296,16617,16900,17466,17880,17990,18569,19009,19171,19495,19784,20362,20800,20958,21274,21547,22093,22467,22856,23275,23395,23994,24115,24716,24841,25450,25591,25873,26437,26847,26949,27512,27920,28018,28573,28965,29390,29522,30145,30314,30652,30969,31244,31794,32176,32581,32673,33216,33584,33961,34356,34787,34931,35219,35795,36229,36379,36679,37279,37402,38007,38140,38765,38938,39284,39617,39924,40538,40689,40991,41595,41726,42347,42512,42842,43143,43745,43872,44485,44634,44932,45528,45643,46232,46333,46894,47298,47388,47927,48287,48648,49011,49378,49753,50144,50567,50695,51310,51463,51769,52381,52528,52822,53410,53509,54066,54462,54895,55043,55339,55931,56038,56611,57039,57177,57453,58005,58391,58804,58912,59487,59919,60065,60357,60941,61032,61573,61937,62306,62685,63084,63523,63683,64003
